"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction","bias_se","bias_ci_lower","bias_ci_upper","variance_se","variance_ci_lower","variance_ci_upper","mse_se","mse_ci_lower","mse_ci_upper","re_se","re_ci_lower","re_ci_upper"
"ARIMA(1,1,0)","Lognormal",200,"PMM2","phi1",0.00114632489766584,0.0014017674464502,0.00140238062349799,0.037448372775035,2000,2000,1.72628304902617,41.4387377944376,0.000881168037155237,-0.000649117914641676,0.00292222349826342,4.40309748383971e-05,0.00131702728945996,0.00149135256927141,4.62644889237194e-05,0.00131688385079394,0.00149730332958118,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",200,"M-EST","phi1",-0.00206124959913938,0.00199879461661249,0.00200204396921413,0.0447442059848438,2000,2000,1.20921714800181,16.4968940212374,0.000998745838102923,-0.00396917144701099,7.770052707533e-05,6.57551079142085e-05,0.00188123825628439,0.00213789553384117,6.45117041934478e-05,0.00187776187854041,0.00213533094074856,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"CSS","phi1",-0.00311661994614456,0.0010096816426681,0.00101889012173547,0.0319200582978082,2000,2000,1,NA,0.000687600513480914,-0.0045359819871962,-0.00178306883441201,3.13153723841919e-05,0.000948845183208866,0.0010726886789209,3.25295465864057e-05,0.0009569189776499,0.00108085798093138,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"OLS","phi1",-0.00311628776493959,0.00100968219938126,0.00101888860771549,0.0319200345819908,2000,2000,1.00000148595242,0,0.000736968094975353,-0.00460966240195118,-0.00174517878266398,3.19847237280362e-05,0.000949392420659197,0.00107316353278558,3.1815285761649e-05,0.000956195628471239,0.00108034951441464,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"PMM2","phi1",-0.000509853582543446,0.000594142372448565,0.000594105251937973,0.0243742743879274,2000,2000,1.7149993513975,41.1555068701164,0.000538686419750778,-0.00154699329540922,0.000544607652181505,1.80851260268383e-05,0.000560295604932518,0.000630656371300328,1.84755930568755e-05,0.000556814814730968,0.000632005425391519,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"M-EST","phi1",-0.00205991600710859,0.000800505053494096,0.00080434805492369,0.0283610305687873,2000,2000,1.26672789907118,20.7171272322472,0.000626721078312984,-0.00334264334545937,-0.000842898796041416,2.4231241996751e-05,0.00075421311764441,0.000849733425254565,2.46051706734658e-05,0.000759822893699475,0.000852435991258302,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",1000,"CSS","phi1",-0.00108124450013485,0.0005014729090015,0.00050239126221607,0.0224140862453965,2000,2000,1,NA,0.000524259759002075,-0.00212458124673549,-4.47373691591781e-05,1.6250018145031e-05,0.000468963108025874,0.000532152567743907,1.5610531857155e-05,0.000472238155475198,0.000534650088519537,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",1000,"OLS","phi1",-0.00108125663711637,0.00050147780679073,0.000502396183802643,0.0224141960329306,2000,2000,0.999990203773972,0,0.000498212726384925,-0.00206400949961716,-9.82303774401084e-05,1.60980056151776e-05,0.000472274363844447,0.000534787251430677,1.67372451796839e-05,0.000470320599159714,0.00053669692518272,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",1000,"PMM2","phi1",0.000143383873365781,0.000289398850220542,0.000289274709730573,0.0170080777788254,2000,2000,1.73672721920278,42.2907960628235,0.000378668374971818,-0.000651188155995374,0.000854391979652845,9.45415036211607e-06,0.000271040800141398,0.000307787720642482,9.21197812447373e-06,0.000273049485095965,0.000309229420167211,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",1000,"M-EST","phi1",-0.000307717435189355,0.000395495259734022,0.000395392202124075,0.0198844713815599,2000,2000,1.27061499826549,21.1340453399036,0.000428080534395667,-0.00110583126540632,0.000519109249257146,1.28860364151302e-05,0.00037448248586712,0.000424218559160333,1.20490863715216e-05,0.000371373512386815,0.00041864246632835,NA,NA,NA
"ARIMA(1,1,0)","Chi-squared",100,"CSS","phi1",-0.0110279115773196,0.00526749861555701,0.0053864797000064,0.0733926406392794,2000,2000,1,NA,0.00165308586212355,-0.0141635654972761,-0.00761473381623438,0.000177202918512653,0.00496620168673758,0.00566356328112569,0.000187529803628158,0.00499923776098713,0.0057226404969901,NA,NA,NA
"ARIMA(1,1,0)","Chi-squared",100,"OLS","phi1",-0.0110275342054273,0.00526749696503949,0.00538646972720884,0.0733925726978476,2000,2000,1.00000185145338,0,0.00155259777298614,-0.0142011145259817,-0.00804568325628453,0.000169930262822745,0.0049737122882255,0.00565827387897953,0.000194217569909894,0.00504149017235237,0.0057647533641523,NA,NA,NA
"ARIMA(1,1,0)","Chi-squared",100,"PMM2","phi1",0.00330849589003687,0.00302161483342809,0.00303105017106578,0.0550549740810563,2000,2000,1.77710014549591,42.6366098835438,0.0012618780697561,0.000749733673475995,0.00579422314449294,0.000107599286677584,0.00281117922914597,0.00323418281936262,0.000108469963816062,0.00283576931623185,0.00324925352267397,NA,NA,NA
"ARIMA(1,1,0)","Chi-squared",100,"M-EST","phi1",-0.00499514035377171,0.0045235796872917,0.00454626932460194,0.0674260285394442,2000,2000,1.18481315456999,14.1227851232793,0.00146748029920032,-0.00789814438035832,-0.00224445724342498,0.000160788581932633,0.0042346295085331,0.00489207464048623,0.000159214790093188,0.00423201897910584,0.00487010724686424,NA,NA,NA
